144a27cd6cd1e10dd5c58ac7581454cc
0x26c5 0x26c7 0x2690
0x2849 0x284b 0x2820
0x3dfa 0x3dfc 0x3de0
0x3e5a 0x3e5c 0x3e40
0x450b 0x4511 0x43f0
0x43c1 0x43c7 0x41f0
0x4dba 0x4dbc 0x4d90
0x5234 0x5236 0x5210
0x519e 0x51a4 0x4e00
0x531f 0x5321 0x52d0
0x5693 0x5699 0x5360
0x579d 0x5814 0x579f
0x5f73 0x5f75 0x5f30
0x65cd 0x65cf 0x65b0
0x6f1b 0x6f21 0x6df0
0x6f3c 0x6f42 0x6db0
0x84b2 0x84b8 0x82c0
0x8a32 0x8a38 0x8840
0x8ff8 0x8ffe 0x8e00
0x9572 0x9578 0x9380
0x9b02 0x9b08 0x9910
0xa0c8 0xa0ce 0x9ed0
0xa625 0xa62b 0xa440
0xab82 0xab88 0xa990
0xd563 0xd569 0xd360
0xe840 0xe8be 0xe842
0x11162 0x11164 0x11150
0x1111b 0x1111d 0x11110
