(0xc30, 0xc40, .plt)
(0xc80, 0xc90, trts_access_version_dummy1)
(0xc90, 0xca0, tstdc_access_version_dummy1)
(0xca0, 0xcb0, tcrypto_access_version_dummy1)
(0xcb0, 0xcc0, tservice_access_version_dummy1)
(0xcc0, 0xe60, sgx_sgxsd_enclave_node_init)
(0xe60, 0x10a0, sgx_sgxsd_enclave_get_next_report)
(0x10a0, 0x1110, sgx_sgxsd_enclave_set_current_quote)
(0x1110, 0x13e0, sgx_sgxsd_enclave_negotiate_request)
(0x13e0, 0x1580, sgx_sgxsd_enclave_server_start)
(0x1580, 0x19a0, sgx_sgxsd_enclave_server_call)
(0x19a0, 0x1b40, sgx_sgxsd_enclave_server_stop)
(0x1b40, 0x1b80, sgx_setBucket)
(0x1b80, 0x1c00, sgx_setActionCounter)
(0x1c00, 0x1c20, sgx_bootSecureCommunication)
(0x1c20, 0x1c40, sgx_makeEndMsg)
(0x3e80, 0x4560, br_ghash_pclmul)
(0x4d40, 0x5290, br_aes_x86ni_ctr_run)
(0x59e0, 0x5a30, br_sha224_state)
(0x5a30, 0x5a80, br_sha224_set_state)
(0xd330, 0xd5b0, fsquare_times)
(0xe120, 0xe330, sabd_lookup_hash_salt)
(0xe330, 0xe3b0, sabd_lookup_hash_slot)
(0xe3b0, 0xe3d0, _mm256_setzero_si256)
(0x10d10, 0x10d20, do_init_switchless)
(0x10d20, 0x10d30, do_run_switchless_tworker)
(0x10ec0, 0x10ee0, get_errno_addr)
(0x110b0, 0x11250, internal_handle_exception)
(0x14d40, 0x14e50, __memcpy)
(0x154d0, 0x154e0, __intel_cpu_features_init_x)
(0x154e0, 0x15500, __intel_cpu_features_init)
(0x15a30, 0x15a40, _intel_fast_memcpy.A)
(0x15a40, 0x15a50, _intel_fast_memcpy.J)
(0x15a50, 0x15a60, _intel_fast_memcpy.M)
(0x15a60, 0x15a70, _intel_fast_memcpy.P)
(0x15a70, 0x15a80, _intel_fast_memcpy.V)
(0x15a80, 0x15a90, _intel_fast_memcpy.Z)
(0x15a90, 0x15aa0, _intel_fast_memcpy.a)
(0x15aa0, 0x15b50, _intel_fast_memcpy)
(0x15b50, 0x15b60, _intel_fast_memset.A)
(0x15b60, 0x15b70, _intel_fast_memset.J)
(0x15b70, 0x15b80, _intel_fast_memset.V)
(0x15b80, 0x15b90, _intel_fast_memset.Z)
(0x15b90, 0x15ba0, _intel_fast_memset.a)
(0x15ba0, 0x15c20, _intel_fast_memset)
(0x15c20, 0x173f0, __intel_avx_rep_memcpy)
(0x173f0, 0x18440, __intel_avx_rep_memset)
(0x18440, 0x19fc0, __intel_mic_avx512f_memcpy)
(0x19fc0, 0x1b8c0, __intel_mic_avx512f_memset)
(0x1b8c0, 0x1e290, __intel_ssse3_memcpy)
