cc8fc37a827fffa340ccafff343a34c7
0x1f11 0x1f17
0x2a99 0x2a9b
0x2b1c 0x2b48
0x2cdd 0x2cdf
0x2ca5 0x2d00
0x2d36 0x2d88
0x2d94 0x2d9a
0x2e5c 0x2e72
0x2f39 0x2f3b
0x2f9f 0x303c
0x302d 0x302f
0x3036 0x303c
0x3139 0x313b
0x325a 0x325c
0x32f4 0x3330
0x33b0 0x33b2
0x3394 0x3428
0x3466 0x346c
0x3b56 0x3b58
0x3c8a 0x3c8c
0x4073 0x4075
0x40bc 0x40d2
0x4126 0x4150
0x4af6 0x4c48
0x4b67 0x4b69
0x4cd3 0x4ce8
0x4dbc 0x4d78
0x4d7f 0x4dd0
0x4e9c 0x4e58
0x4e5f 0x4eb0
0x4f5f 0x5030
0x5090 0x50a0
0x4f2b 0x5040
0x52b0 0x52b2
0xefd0 0xefd2
0xf088 0xf08a
0xf161 0xf163
0xf1a6 0xf1a8
0x1174f 0x11751
0xf2b4 0xf2b6
0xf3c4 0xf3c6
0xf37d 0xf37f
0xf202 0xf204
0x1182d 0x1182f
0x131f4 0x131f6
0x13296 0x1329c
0x11a05 0x11a07
0x119b4 0x119b8
0x11a86 0x11a88
0x13388 0x1338a
0x13428 0x1342a
0x143e0 0x143e2
0x14586 0x14588
0x18d1c 0x18d1e
0x18d6a 0x18d80
0x18db2 0x18db4
0x18db7 0x18db9
0x18deb 0x18e00
0x196da 0x196e0
0x18f6a 0x18fe0
0x19452 0x19458
0x1d6db 0x1d6e1
0x1d6c7 0x1d6cd
0x1d555 0x1d55b
0x1edc7 0x1edc9
0x1ed2f 0x1ed31
