T[0x308d4, 0xffff803987000000]
N[0x30997, 0xffff803987000000]
B[0xce2, 0xffff803987000001]
E[0xcee, 0xf4a0]
B[0xd0d, 0xffff803987000001]
B[0xd27, 0xffff803987000001]
E[0xd33, 0xf4a0]
B[0xd49, 0xffff803987000000]
B[0xd5e, 0xffff803987000001]
B[0xd68, 0xffff803987000001]
E[0xd74, 0x12730]
B[0xd8d, 0xffff803987000000]
E[0xd99, 0x15450]
B[0xdf6, 0xffff803987000000]
B[0xdff, 0xffff803987000000]
E[0xe0b, 0x2050]
E[0x2063, 0x153d0]
E[0x2081, 0x20c0]
B[0x20ea, 0xffff803987000000]
E[0x20f6, 0xf4a0]
B[0x210b, 0xffff803987000000]
E[0x2117, 0xf4a0]
B[0x2131, 0xffff803987000000]
B[0x213d, 0xffff803987000000]
B[0x217c, 0xffff803987000000]
E[0x2188, 0x2260]
E[0x2273, 0x2950]
E[0x2988, 0xf630]
B[0x29b2, 0xffff803987000000]
E[0x29be, 0x153d0]
E[0x29fd, 0x2750]
E[0x278a, 0x15070]
E[0x27b1, 0x15070]
B[0x280c, 0xffff803987000000]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x282a, 0xffff803987000001]
B[0x2852, 0xffff803987000000]
E[0x2861, 0x15070]
E[0x2890, 0x2630]
E[0x2668, 0x5a80]
E[0x2672, 0x2672]
B[0x269a, 0xffff803987000001]
E[0x26b0, 0x5710]
E[0x572a, 0x5750]
B[0x57a9, 0xffff803987000001]
B[0x57cb, 0xffff803987000000]
B[0x57f4, 0xffff803987000001]
E[0x5800, 0x5290]
E[0x52b3, 0x3dc0]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3e03, 0xffff803987000000]
E[0x52ca, 0x52ca]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x532f, 0xffff803987000000]
B[0x536a, 0xffff803987000001]
B[0x536a, 0xffff803987000001]
B[0x536a, 0xffff803987000001]
B[0x536a, 0xffff803987000001]
B[0x536a, 0xffff803987000001]
B[0x536a, 0xffff803987000001]
B[0x536a, 0xffff803987000001]
B[0x536a, 0xffff803987000001]
B[0x56a0, 0xffff803987000000]
E[0x56f4, 0x580c]
B[0x579a, 0xffff803987000000]
B[0x581b, 0xffff803987000000]
E[0x5738, 0x5738]
E[0x26be, 0x26be]
B[0x269a, 0xffff803987000001]
E[0x26b0, 0x5710]
E[0x572a, 0x5750]
B[0x57a9, 0xffff803987000001]
B[0x57c1, 0xffff803987000001]
B[0x57cb, 0xffff803987000000]
B[0x579a, 0xffff803987000000]
B[0x581b, 0xffff803987000000]
E[0x5738, 0x5738]
E[0x26be, 0x26be]
B[0x26ce, 0xffff803987000000]
E[0x26da, 0x5ab0]
E[0x5ac6, 0x5840]
B[0x58fa, 0xffff803987000000]
E[0x5979, 0x5290]
E[0x52b3, 0x3dc0]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3dea, 0xffff803987000001]
B[0x3e03, 0xffff803987000000]
E[0x52ca, 0x52ca]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
B[0x52da, 0xffff803987000001]
