0f2bc6cdf74c8a3c2a11d96db940ada8
0x2a45 0x2a47 0x2a10
0x2bc9 0x2bcb 0x2ba0
0x465c 0x465e 0x4630
0x46fc 0x46fe 0x46d0
0x5d70 0x5d76 0x5730
0x61e4 0x61ea 0x5db0
0x9618 0x961e 0x8b90
0x970a 0x970c 0x96e0
0x8b12 0x8b14 0x8ac0
0x9c33 0x9c39 0x9900
0x98bf 0x98c1 0x9870
0x9d3d 0x9db4 0x9d3f
0xa6e3 0xa6e5 0xa6a0
0xa8f0 0xa8f2 0xa8b0
0xadfd 0xadff 0xade0
0xb7ec 0xb7f2 0xb660
0xb7cb 0xb7d1 0xb6a0
0xde94 0xde9a 0xdca0
0xef60 0xef66 0xed80
0xcdb2 0xcdb8 0xcbc0
0xd906 0xd90c 0xd710
0xf4e2 0xf4e8 0xf2f0
0xe425 0xe42b 0xe250
0xd345 0xd34b 0xd170
0xe9e6 0xe9ec 0xe7f0
0x12583 0x12589 0x12380
0x12f37 0x12f3d 0x12930
0x128d1 0x128d3 0x1286c
0x12dee 0x12df4 0x129e0
0x134ff 0x13505 0x13470
0x13443 0x13449 0x13240
0x13414 0x1341a 0x132b0
0x1320c 0x13212 0x12fe0
0x12f6c 0x12f72 0x12840
0x147f0 0x1486e 0x147f2
0x17488 0x174ec 0x1748a
