TIME SBOX,OWRITE SBOX,PAYLOAD B
563848,8,128
445066,8,128
476334,8,128
464220,8,128
443034,8,128
440546,8,128
545520,8,128
442918,8,128
476466,8,128
444788,8,128
514046,8,128
507612,8,128
475536,8,128
444802,8,128
510796,8,128
442036,8,128
443116,8,128
544322,8,128
511272,8,128
442942,8,128
478476,8,128
442350,8,128
442292,8,128
509982,8,128
543772,8,128
445150,8,128
443688,8,128
544358,8,128
511400,8,128
478608,8,128
542088,8,128
443154,8,128
442508,8,128
484120,8,128
439924,8,128
440518,8,128
440174,8,128
446858,8,128
443198,8,128
474458,8,128
442378,8,128
512522,8,128
478410,8,128
444234,8,128
490196,8,128
444154,8,128
474508,8,128
443180,8,128
477212,8,128
443230,8,128
543484,8,128
441216,8,128
476660,8,128
476212,8,128
448600,8,128
542254,8,128
474820,8,128
440770,8,128
507526,8,128
437448,8,128
439332,8,128
438314,8,128
506562,8,128
511064,8,128
472952,8,128
441098,8,128
472220,8,128
439108,8,128
507646,8,128
577868,8,128
442670,8,128
441596,8,128
443106,8,128
475828,8,128
441718,8,128
478814,8,128
440650,8,128
441154,8,128
543640,8,128
443876,8,128
442682,8,128
475214,8,128
476802,8,128
441806,8,128
440878,8,128
468038,8,128
446856,8,128
443720,8,128
440734,8,128
447058,8,128
476194,8,128
476180,8,128
441866,8,128
439822,8,128
480338,8,128
443198,8,128
511796,8,128
507246,8,128
441470,8,128
473898,8,128
441470,8,128
440752,8,128
440438,8,128
441448,8,128
440930,8,128
440690,8,128
460244,8,128
472584,8,128
493756,8,128
509840,8,128
442690,8,128
476386,8,128
510608,8,128
476624,8,128
442296,8,128
512746,8,128
485502,8,128
433408,8,128
500222,8,128
432928,8,128
466096,8,128
432274,8,128
498654,8,128
465670,8,128
432862,8,128
466784,8,128
467310,8,128
438594,8,128
431642,8,128
429138,8,128
476540,8,128
436104,8,128
434842,8,128
432698,8,128
438070,8,128
473690,8,128
434528,8,128
453248,8,128
440078,8,128
479984,8,128
445788,8,128
480440,8,128
442622,8,128
514610,8,128
514084,8,128
444288,8,128
477404,8,128
512260,8,128
477532,8,128
446118,8,128
441678,8,128
484900,8,128
478644,8,128
442812,8,128
445094,8,128
575770,8,128
448814,8,128
514054,8,128
443660,8,128
546672,8,128
518454,8,128
508520,8,128
476310,8,128
473122,8,128
441514,8,128
439158,8,128
507180,8,128
544602,8,128
556786,8,128
478268,8,128
446042,8,128
477246,8,128
443428,8,128
442062,8,128
442188,8,128
442462,8,128
441616,8,128
442242,8,128
477954,8,128
509744,8,128
476766,8,128
475106,8,128
439048,8,128
440590,8,128
439234,8,128
506962,8,128
509456,8,128
441140,8,128
480092,8,128
473208,8,128
440926,8,128
474114,8,128
442646,8,128
445652,8,128
446096,8,128
476002,8,128
443380,8,128
475100,8,128
462952,8,128
443018,8,128
510454,8,128
474058,8,128
509040,8,128
540502,8,128
544118,8,128
440444,8,128
505846,8,128
441064,8,128
696228,8,128
452126,8,128
476290,8,128
443728,8,128
441488,8,128
477868,8,128
442514,8,128
476116,8,128
441438,8,128
441286,8,128
441458,8,128
475616,8,128
441798,8,128
509672,8,128
476406,8,128
442334,8,128
475906,8,128
444056,8,128
477290,8,128
440960,8,128
441358,8,128
450044,8,128
475774,8,128
511170,8,128
443826,8,128
443098,8,128
442354,8,128
440902,8,128
442582,8,128
440626,8,128
443408,8,128
567124,8,128
441456,8,128
441988,8,128
440428,8,128
474154,8,128
543014,8,128
474222,8,128
440596,8,128
438350,8,128
506992,8,128
601956,8,128
429540,8,128
431264,8,128
466990,8,128
433078,8,128
467382,8,128
467914,8,128
430148,8,128
434730,8,128
466006,8,128
468684,8,128
446536,8,128
473634,8,128
473514,8,128
472578,8,128
440770,8,128
438776,8,128
505814,8,128
507082,8,128
439280,8,128
505704,8,128
539004,8,128
439130,8,128
437750,8,128
434938,8,128
436372,8,128
472440,8,128
472570,8,128
434674,8,128
501394,8,128
438324,8,128
434994,8,128
443260,8,128
474240,8,128
474704,8,128
439104,8,128
440048,8,128
477122,8,128
441346,8,128
438324,8,128
437452,8,128
504710,8,128
551312,8,128
438510,8,128
476390,8,128
440422,8,128
472200,8,128
475696,8,128
439414,8,128
473664,8,128
440528,8,128
440296,8,128
441706,8,128
510300,8,128
439172,8,128
440116,8,128
475912,8,128
440866,8,128
441106,8,128
439926,8,128
473182,8,128
541140,8,128
439770,8,128
443702,8,128
437248,8,128
439412,8,128
436202,8,128
435068,8,128
435596,8,128
505142,8,128
506596,8,128
439142,8,128
469282,8,128
493788,8,128
474098,8,128
440166,8,128
475914,8,128
441940,8,128
474154,8,128
473324,8,128
437544,8,128
474250,8,128
505218,8,128
507204,8,128
441136,8,128
457904,8,128
507386,8,128
440252,8,128
441172,8,128
437938,8,128
439098,8,128
439624,8,128
439180,8,128
440012,8,128
476430,8,128
474042,8,128
472572,8,128
440706,8,128
439426,8,128
474972,8,128
475416,8,128
438780,8,128
440152,8,128
443148,8,128
454920,8,128
478606,8,128
441412,8,128
439168,8,128
540938,8,128
507258,8,128
442492,8,128
440026,8,128
440760,8,128
443110,8,128
437656,8,128
541710,8,128
474626,8,128
449824,8,128
435522,8,128
435762,8,128
436704,8,128
438772,8,128
437886,8,128
471472,8,128
434212,8,128
440444,8,128
434078,8,128
439710,8,128
503436,8,128
435744,8,128
434906,8,128
436354,8,128
470318,8,128
437234,8,128
433952,8,128
497350,8,128
508588,8,128
538142,8,128
471048,8,128
441672,8,128
435680,8,128
505704,8,128
470034,8,128
436484,8,128
438052,8,128
437734,8,128
504888,8,128
538156,8,128
469080,8,128
437760,8,128
436708,8,128
435038,8,128
468008,8,128
432148,8,128
469382,8,128
468374,8,128
473044,8,128
437732,8,128
472234,8,128
471092,8,128
438166,8,128
471500,8,128
467890,8,128
501338,8,128
436450,8,128
468916,8,128
740298,8,128
469390,8,128
441596,8,128
439744,8,128
440224,8,128
440790,8,128
439830,8,128
438800,8,128
441540,8,128
441178,8,128
459932,8,128
437970,8,128
506308,8,128
440318,8,128
440260,8,128
476268,8,128
477070,8,128
505894,8,128
440880,8,128
507318,8,128
508208,8,128
439780,8,128
439748,8,128
506244,8,128
506766,8,128
441308,8,128
440564,8,128
508470,8,128
504626,8,128
441902,8,128
437376,8,128
440996,8,128
470548,8,128
472712,8,128
443482,8,128
439838,8,128
440406,8,128
439686,8,128
437542,8,128
439364,8,128
437606,8,128
540524,8,128
539056,8,128
447806,8,128
441668,8,128
508112,8,128
474484,8,128
476430,8,128
474470,8,128
