TIME STD,OWRITE STD,PAYLOAD B
1047016,128,16384
946188,128,16384
942120,128,16384
939036,128,16384
936266,128,16384
929956,128,16384
934694,128,16384
934662,128,16384
938658,128,16384
960700,128,16384
932558,128,16384
931332,128,16384
932834,128,16384
933902,128,16384
1018272,128,16384
933466,128,16384
1026766,128,16384
935814,128,16384
965694,128,16384
934980,128,16384
931322,128,16384
937742,128,16384
931244,128,16384
935602,128,16384
932058,128,16384
934046,128,16384
932594,128,16384
931206,128,16384
930152,128,16384
932116,128,16384
935614,128,16384
1066038,128,16384
932826,128,16384
929194,128,16384
935426,128,16384
931336,128,16384
929508,128,16384
931676,128,16384
930956,128,16384
929608,128,16384
929102,128,16384
933094,128,16384
933862,128,16384
935736,128,16384
1052766,128,16384
933610,128,16384
1033282,128,16384
935254,128,16384
932574,128,16384
932836,128,16384
938474,128,16384
935620,128,16384
932930,128,16384
944102,128,16384
944136,128,16384
931762,128,16384
931148,128,16384
930556,128,16384
931496,128,16384
939216,128,16384
931562,128,16384
939056,128,16384
931792,128,16384
935566,128,16384
931406,128,16384
933166,128,16384
929398,128,16384
931340,128,16384
1173146,128,16384
933460,128,16384
930654,128,16384
930302,128,16384
928870,128,16384
928178,128,16384
973354,128,16384
1028258,128,16384
928806,128,16384
930022,128,16384
929650,128,16384
934800,128,16384
930196,128,16384
932952,128,16384
932818,128,16384
935450,128,16384
931158,128,16384
929274,128,16384
954852,128,16384
931940,128,16384
926888,128,16384
931882,128,16384
1047426,128,16384
934626,128,16384
931190,128,16384
931312,128,16384
930374,128,16384
928944,128,16384
933222,128,16384
1010178,128,16384
931010,128,16384
930494,128,16384
927456,128,16384
931110,128,16384
927638,128,16384
1014566,128,16384
928734,128,16384
936680,128,16384
934720,128,16384
932300,128,16384
929434,128,16384
928162,128,16384
930480,128,16384
930562,128,16384
1049992,128,16384
929308,128,16384
928416,128,16384
931372,128,16384
929174,128,16384
931000,128,16384
929664,128,16384
983920,128,16384
934156,128,16384
932810,128,16384
929872,128,16384
930068,128,16384
927780,128,16384
931162,128,16384
931208,128,16384
1044402,128,16384
929440,128,16384
932126,128,16384
928552,128,16384
929910,128,16384
934974,128,16384
1018504,128,16384
1045646,128,16384
929406,128,16384
935484,128,16384
929278,128,16384
934968,128,16384
932960,128,16384
932714,128,16384
933688,128,16384
933390,128,16384
926388,128,16384
927926,128,16384
927940,128,16384
928662,128,16384
931554,128,16384
931324,128,16384
1044604,128,16384
932936,128,16384
929964,128,16384
934022,128,16384
934890,128,16384
932882,128,16384
933886,128,16384
1057336,128,16384
930882,128,16384
932366,128,16384
929846,128,16384
928424,128,16384
929870,128,16384
930110,128,16384
973908,128,16384
935000,128,16384
933640,128,16384
932168,128,16384
933350,128,16384
930318,128,16384
930506,128,16384
933104,128,16384
1084526,128,16384
932374,128,16384
931056,128,16384
926786,128,16384
930948,128,16384
929658,128,16384
930446,128,16384
1047754,128,16384
932360,128,16384
932382,128,16384
930718,128,16384
933278,128,16384
935102,128,16384
935132,128,16384
932914,128,16384
959256,128,16384
935156,128,16384
935284,128,16384
933200,128,16384
929034,128,16384
930958,128,16384
977050,128,16384
1048998,128,16384
933786,128,16384
930168,128,16384
933072,128,16384
929398,128,16384
