TIME,OWRITE,PAYLOAD
608260,1,1024
688128,1,1024
757912,1,1024
886240,1,1024
704414,1,1024
701652,1,1024
852668,1,1024
816004,1,1024
865684,1,1024
779212,1,1024
772284,1,1024
782632,1,1024
781062,1,1024
908720,1,1024
787732,1,1024
782568,1,1024
772028,1,1024
721012,1,1024
760452,1,1024
704510,1,1024
779070,1,1024
783004,1,1024
782078,1,1024
850246,1,1024
776844,1,1024
771040,1,1024
815452,1,1024
783628,1,1024
877746,1,1024
704948,1,1024
770694,1,1024
761028,1,1024
862144,1,1024
761746,1,1024
771736,1,1024
767222,1,1024
845006,1,1024
860000,1,1024
793192,1,1024
771586,1,1024
777630,1,1024
780914,1,1024
778920,1,1024
772772,1,1024
781856,1,1024
747474,1,1024
856874,1,1024
768812,1,1024
774038,1,1024
784378,1,1024
778198,1,1024
756506,1,1024
705856,1,1024
785570,1,1024
775044,1,1024
773278,1,1024
786780,1,1024
778702,1,1024
703846,1,1024
776790,1,1024
777052,1,1024
770942,1,1024
863246,1,1024
775388,1,1024
704916,1,1024
928768,1,1024
781792,1,1024
764058,1,1024
762046,1,1024
854006,1,1024
780346,1,1024
789234,1,1024
571866,1,1024
857880,1,1024
710498,1,1024
930644,1,1024
736612,1,1024
991464,1,1024
932302,1,1024
780444,1,1024
799382,1,1024
780528,1,1024
849508,1,1024
857114,1,1024
704750,1,1024
784676,1,1024
774140,1,1024
852600,1,1024
932838,1,1024
785168,1,1024
780906,1,1024
854780,1,1024
1682762,1,1024
860252,1,1024
893998,1,1024
700258,1,1024
694272,1,1024
955572,1,1024
652520,1,1024
837506,1,1024
665356,1,1024
775560,1,1024
773624,1,1024
773288,1,1024
778080,1,1024
950072,1,1024
710246,1,1024
772444,1,1024
859830,1,1024
855774,1,1024
703458,1,1024
779042,1,1024
697934,1,1024
771018,1,1024
770370,1,1024
703414,1,1024
866512,1,1024
753296,1,1024
776070,1,1024
779472,1,1024
802850,1,1024
773082,1,1024
796208,1,1024
933148,1,1024
864244,1,1024
866472,1,1024
886260,1,1024
782088,1,1024
763438,1,1024
902064,1,1024
753458,1,1024
781486,1,1024
769534,1,1024
780140,1,1024
646820,1,1024
700448,1,1024
857982,1,1024
853840,1,1024
860362,1,1024
771908,1,1024
924532,1,1024
779892,1,1024
573338,1,1024
845198,1,1024
854278,1,1024
771312,1,1024
773768,1,1024
771850,1,1024
781764,1,1024
770708,1,1024
778520,1,1024
763514,1,1024
699706,1,1024
690766,1,1024
868980,1,1024
906240,1,1024
790320,1,1024
725142,1,1024
694792,1,1024
761154,1,1024
771994,1,1024
802470,1,1024
703152,1,1024
750008,1,1024
832504,1,1024
619510,1,1024
644098,1,1024
673444,1,1024
706128,1,1024
600428,1,1024
605996,1,1024
739010,1,1024
588566,1,1024
599256,1,1024
736150,1,1024
760232,1,1024
695022,1,1024
608612,1,1024
756428,1,1024
622834,1,1024
793186,1,1024
698438,1,1024
773002,1,1024
623556,1,1024
817610,1,1024
742466,1,1024
614152,1,1024
831908,1,1024
623200,1,1024
587282,1,1024
605612,1,1024
597038,1,1024
684872,1,1024
680224,1,1024
691466,1,1024
621310,1,1024
637676,1,1024
612702,1,1024
637956,1,1024
637896,1,1024
