TIME,OWRITE,PAYLOAD
729642,1,1024
363790,1,1024
341504,1,1024
342438,1,1024
359336,1,1024
340148,1,1024
340110,1,1024
340532,1,1024
339686,1,1024
341650,1,1024
341514,1,1024
339200,1,1024
340496,1,1024
338494,1,1024
341678,1,1024
339520,1,1024
337616,1,1024
341198,1,1024
378474,1,1024
340128,1,1024
342224,1,1024
340092,1,1024
339172,1,1024
341832,1,1024
342068,1,1024
340828,1,1024
340946,1,1024
341104,1,1024
338794,1,1024
338774,1,1024
345102,1,1024
343200,1,1024
368248,1,1024
340184,1,1024
340248,1,1024
338486,1,1024
420076,1,1024
333342,1,1024
333420,1,1024
333180,1,1024
332724,1,1024
336760,1,1024
332348,1,1024
331604,1,1024
417356,1,1024
329850,1,1024
374194,1,1024
333964,1,1024
331490,1,1024
330626,1,1024
331870,1,1024
333306,1,1024
332902,1,1024
332424,1,1024
330954,1,1024
332254,1,1024
331496,1,1024
330476,1,1024
332120,1,1024
329320,1,1024
377398,1,1024
330806,1,1024
335444,1,1024
329738,1,1024
330756,1,1024
333964,1,1024
330476,1,1024
330682,1,1024
331744,1,1024
331288,1,1024
331434,1,1024
332148,1,1024
332354,1,1024
332150,1,1024
472150,1,1024
330260,1,1024
329760,1,1024
329062,1,1024
331286,1,1024
330398,1,1024
411372,1,1024
329222,1,1024
330302,1,1024
332340,1,1024
329304,1,1024
329774,1,1024
328452,1,1024
328538,1,1024
383402,1,1024
329228,1,1024
329460,1,1024
329404,1,1024
332068,1,1024
331036,1,1024
331488,1,1024
329766,1,1024
329842,1,1024
331084,1,1024
331336,1,1024
330666,1,1024
330688,1,1024
330498,1,1024
332890,1,1024
333158,1,1024
330160,1,1024
327996,1,1024
329174,1,1024
330090,1,1024
329638,1,1024
330582,1,1024
328730,1,1024
328658,1,1024
331146,1,1024
330408,1,1024
330504,1,1024
329362,1,1024
404764,1,1024
582414,1,1024
425716,1,1024
424432,1,1024
429530,1,1024
428188,1,1024
436290,1,1024
465906,1,1024
438696,1,1024
431062,1,1024
431972,1,1024
443112,1,1024
432624,1,1024
432020,1,1024
461540,1,1024
435198,1,1024
432654,1,1024
402578,1,1024
345326,1,1024
345122,1,1024
344352,1,1024
344658,1,1024
341650,1,1024
344582,1,1024
345824,1,1024
345742,1,1024
340142,1,1024
342860,1,1024
341464,1,1024
345952,1,1024
344080,1,1024
342648,1,1024
346234,1,1024
343204,1,1024
343626,1,1024
344956,1,1024
344472,1,1024
342660,1,1024
341140,1,1024
344248,1,1024
342424,1,1024
343430,1,1024
343528,1,1024
339558,1,1024
344320,1,1024
342220,1,1024
342600,1,1024
341208,1,1024
342590,1,1024
342612,1,1024
343890,1,1024
342262,1,1024
333304,1,1024
330790,1,1024
329902,1,1024
332250,1,1024
331144,1,1024
331010,1,1024
331180,1,1024
331484,1,1024
330894,1,1024
335174,1,1024
329996,1,1024
331120,1,1024
330422,1,1024
330462,1,1024
420786,1,1024
333908,1,1024
332036,1,1024
339670,1,1024
338896,1,1024
332290,1,1024
331662,1,1024
370594,1,1024
332146,1,1024
330316,1,1024
331278,1,1024
332888,1,1024
338288,1,1024
331832,1,1024
581054,1,1024
342436,1,1024
343028,1,1024
343626,1,1024
341744,1,1024
342934,1,1024
342624,1,1024
342352,1,1024
343478,1,1024
343690,1,1024
344090,1,1024
343320,1,1024
344254,1,1024
344216,1,1024
343064,1,1024
342562,1,1024
342880,1,1024
344516,1,1024
342888,1,1024
342758,1,1024
341390,1,1024
342404,1,1024
342772,1,1024
340614,1,1024
340824,1,1024
345020,1,1024
342132,1,1024
343130,1,1024
344966,1,1024
341592,1,1024
342482,1,1024
342174,1,1024
345254,1,1024
342080,1,1024
341748,1,1024
343582,1,1024
343540,1,1024
341554,1,1024
344316,1,1024
342736,1,1024
341648,1,1024
352628,1,1024
340838,1,1024
340786,1,1024
341772,1,1024
343198,1,1024
341416,1,1024
345884,1,1024
343046,1,1024
341196,1,1024
344678,1,1024
343594,1,1024
340808,1,1024
342364,1,1024
342016,1,1024
482272,1,1024
340304,1,1024
341028,1,1024
341476,1,1024
341848,1,1024
340830,1,1024
341380,1,1024
342394,1,1024
340996,1,1024
340814,1,1024
342048,1,1024
339850,1,1024
342106,1,1024
343066,1,1024
354954,1,1024
344376,1,1024
343374,1,1024
342356,1,1024
341810,1,1024
372216,1,1024
331672,1,1024
333180,1,1024
330790,1,1024
332662,1,1024
331744,1,1024
330822,1,1024
329958,1,1024
330258,1,1024
465232,1,1024
332754,1,1024
334018,1,1024
332388,1,1024
331962,1,1024
330760,1,1024
332222,1,1024
396374,1,1024
542482,1,1024
