TIME,ECALLS
22000,500
22446,500
22152,500
22006,500
22070,500
22124,500
22078,500
21952,500
22092,500
22058,500
22038,500
22092,500
22034,500
22048,500
22120,500
22162,500
22124,500
22066,500
22008,500
22090,500
22070,500
22008,500
22022,500
22026,500
22112,500
22012,500
22074,500
21966,500
21940,500
22102,500
22024,500
22038,500
22058,500
22112,500
22012,500
22042,500
22040,500
22032,500
21936,500
22056,500
22078,500
22024,500
21992,500
22112,500
22056,500
22084,500
22002,500
22064,500
21994,500
22010,500
22124,500
22034,500
21928,500
22140,500
22060,500
22012,500
22118,500
22128,500
22030,500
22058,500
22086,500
22170,500
21986,500
22084,500
22092,500
22058,500
22006,500
22070,500
22008,500
22018,500
22066,500
22098,500
21984,500
22018,500
37546,500
22248,500
22164,500
22090,500
22226,500
22064,500
22150,500
22180,500
22014,500
21998,500
22028,500
22140,500
21948,500
22088,500
22158,500
21998,500
22082,500
22060,500
21972,500
21944,500
21980,500
22024,500
22034,500
22106,500
22058,500
22040,500
21992,500
22026,500
22016,500
22102,500
22012,500
22166,500
22032,500
22044,500
22200,500
22136,500
21960,500
22092,500
22068,500
22000,500
22034,500
22106,500
21960,500
22034,500
22122,500
21966,500
21918,500
22020,500
21972,500
22078,500
22006,500
22014,500
22108,500
21984,500
21966,500
22066,500
21978,500
21956,500
22072,500
22054,500
22088,500
22064,500
22108,500
22030,500
22042,500
22110,500
21982,500
22012,500
21968,500
22138,500
22016,500
22102,500
22050,500
21990,500
21988,500
22056,500
22098,500
22074,500
22038,500
22122,500
21960,500
22076,500
22094,500
22068,500
21992,500
22052,500
22046,500
22024,500
21934,500
22034,500
22060,500
22014,500
22008,500
22130,500
22072,500
21970,500
22022,500
22092,500
21992,500
22000,500
22024,500
22094,500
21960,500
22238,500
21954,500
22074,500
22030,500
22072,500
21900,500
22040,500
22070,500
22066,500
22008,500
22232,500
22018,500
22004,500
22054,500
22038,500
22028,500
21998,500
21990,500
22072,500
21994,500
21992,500
21970,500
22058,500
22014,500
22046,500
22036,500
26662,500
27498,500
27996,500
23678,500
22096,500
22082,500
22148,500
22004,500
22068,500
22004,500
21970,500
21972,500
21998,500
21930,500
21920,500
22020,500
21994,500
21922,500
22082,500
22066,500
21898,500
21980,500
22070,500
21900,500
21898,500
22020,500
21942,500
22058,500
22010,500
22080,500
22008,500
22022,500
22142,500
22038,500
21934,500
21944,500
22028,500
21954,500
21996,500
22060,500
22006,500
21902,500
22040,500
22028,500
21978,500
21964,500
22118,500
21930,500
22000,500
22006,500
21946,500
21902,500
22018,500
22070,500
21960,500
21928,500
21914,500
21926,500
21990,500
21898,500
22056,500
21982,500
21922,500
21966,500
21974,500
21868,500
21930,500
22204,500
21890,500
22234,500
22160,500
22024,500
21986,500
22026,500
22012,500
21962,500
22028,500
21984,500
22042,500
21972,500
22008,500
22072,500
22072,500
21980,500
22096,500
21970,500
21946,500
22026,500
22110,500
22014,500
21974,500
22012,500
22020,500
22188,500
22026,500
22142,500
21974,500
21996,500
22060,500
22008,500
22152,500
22084,500
22020,500
21956,500
21952,500
22066,500
22046,500
21876,500
22022,500
22040,500
21952,500
22028,500
22052,500
22054,500
22076,500
21962,500
21964,500
21974,500
22050,500
22000,500
21976,500
22016,500
21998,500
22008,500
21928,500
22000,500
22042,500
21956,500
21964,500
22004,500
22298,500
22006,500
21954,500
22094,500
22010,500
22024,500
22074,500
22002,500
21928,500
22108,500
21980,500
22028,500
21998,500
22124,500
21966,500
21956,500
21994,500
22064,500
22066,500
22022,500
21992,500
21972,500
22014,500
22010,500
22116,500
22022,500
22076,500
22072,500
21970,500
21970,500
22156,500
21932,500
21960,500
22082,500
22124,500
22030,500
22094,500
22086,500
22016,500
21932,500
22038,500
22008,500
21920,500
21936,500
22078,500
21926,500
22076,500
22096,500
22038,500
22044,500
22010,500
22114,500
22010,500
22020,500
22032,500
21996,500
21946,500
21930,500
22062,500
22074,500
22002,500
21960,500
22026,500
22034,500
21940,500
21990,500
22056,500
22022,500
22072,500
22034,500
21916,500
21974,500
22060,500
21962,500
21976,500
22062,500
22070,500
22002,500
22136,500
21978,500
21892,500
21988,500
21908,500
21978,500
21954,500
21980,500
22022,500
21988,500
21936,500
22070,500
22028,500
21952,500
21990,500
22048,500
22002,500
22032,500
22146,500
22100,500
22046,500
21952,500
21982,500
22092,500
22016,500
21956,500
21990,500
21940,500
22008,500
22048,500
21996,500
22012,500
22016,500
21980,500
21966,500
22086,500
22098,500
21978,500
22052,500
22084,500
21990,500
21960,500
22058,500
21984,500
22012,500
21968,500
21970,500
22016,500
21926,500
21966,500
22070,500
22014,500
22086,500
22014,500
22036,500
21980,500
22092,500
22086,500
21882,500
22002,500
22044,500
21936,500
21984,500
21982,500
21938,500
22088,500
22064,500
22052,500
21962,500
22008,500
21990,500
21914,500
22030,500
21976,500
22068,500
21980,500
21962,500
22048,500
21896,500
21966,500
22104,500
22036,500
21988,500
22062,500
22046,500
22038,500
22066,500
22034,500
21990,500
