TIME,OCALLS
41582,500
41760,500
41650,500
41416,500
41546,500
41452,500
41592,500
41486,500
45174,500
42076,500
41534,500
41398,500
41350,500
41548,500
41490,500
41480,500
41360,500
41440,500
41452,500
41510,500
41470,500
41538,500
41498,500
41394,500
41788,500
41570,500
41612,500
41432,500
41476,500
41380,500
41402,500
41550,500
41444,500
41636,500
41420,500
41582,500
41450,500
41644,500
41326,500
41608,500
41434,500
41544,500
41428,500
41398,500
41520,500
41454,500
41560,500
41530,500
41570,500
41402,500
41450,500
41426,500
41452,500
41458,500
41388,500
41518,500
41442,500
41500,500
41400,500
41500,500
41532,500
41544,500
41416,500
41502,500
41336,500
41512,500
41580,500
41546,500
41450,500
41424,500
41478,500
41386,500
41534,500
41502,500
41648,500
41558,500
41572,500
41464,500
41466,500
41442,500
41456,500
41502,500
41390,500
41598,500
41374,500
41490,500
41410,500
56320,500
41778,500
41530,500
41596,500
41444,500
41638,500
41270,500
41534,500
41316,500
41442,500
41472,500
41476,500
41496,500
41522,500
41476,500
41380,500
41452,500
41354,500
41546,500
41408,500
41518,500
41368,500
41350,500
41552,500
41504,500
41552,500
41438,500
41510,500
41408,500
41412,500
41354,500
41414,500
41416,500
41532,500
41518,500
41422,500
41612,500
41408,500
41544,500
41424,500
41530,500
41490,500
41542,500
41462,500
41434,500
41374,500
41450,500
41520,500
41472,500
41586,500
41494,500
41484,500
41522,500
41596,500
41476,500
41498,500
41346,500
41522,500
41460,500
41512,500
41452,500
41450,500
41414,500
41356,500
41412,500
41360,500
41530,500
41404,500
41502,500
41580,500
41604,500
41536,500
41420,500
41488,500
41456,500
41446,500
41342,500
41538,500
41368,500
41422,500
41330,500
41516,500
41496,500
41460,500
41386,500
41452,500
41548,500
41378,500
41452,500
41274,500
41570,500
41330,500
41520,500
41442,500
41572,500
41512,500
41568,500
41512,500
41524,500
41546,500
41572,500
41422,500
41326,500
41418,500
41442,500
41484,500
41634,500
41432,500
41538,500
41364,500
41454,500
41386,500
41484,500
41382,500
41482,500
41452,500
41424,500
41552,500
44234,500
50878,500
46712,500
41814,500
41544,500
41548,500
41722,500
41904,500
41450,500
41478,500
41704,500
41396,500
41554,500
41568,500
41548,500
41518,500
41544,500
41554,500
41508,500
41552,500
41444,500
41544,500
41454,500
41624,500
41462,500
41618,500
41558,500
41676,500
41580,500
41552,500
41700,500
41544,500
41556,500
41522,500
41516,500
41566,500
41612,500
41578,500
41592,500
41480,500
41502,500
41538,500
41472,500
41792,500
41486,500
41602,500
41578,500
41532,500
41510,500
41616,500
41542,500
41530,500
41664,500
41552,500
41640,500
41392,500
41666,500
41480,500
41574,500
41464,500
41598,500
41510,500
41584,500
41416,500
41570,500
41604,500
41422,500
41626,500
41630,500
41504,500
41458,500
41566,500
41544,500
41568,500
41532,500
41538,500
41536,500
41666,500
41518,500
41488,500
41480,500
41468,500
41564,500
41522,500
41584,500
41412,500
41430,500
41554,500
41478,500
41596,500
41438,500
41524,500
41476,500
41594,500
41500,500
41508,500
41568,500
41460,500
41474,500
41546,500
41558,500
41478,500
41630,500
41498,500
41502,500
41444,500
41516,500
41576,500
41568,500
41520,500
41466,500
56948,500
41724,500
41654,500
41524,500
41652,500
41576,500
41600,500
41712,500
41566,500
41538,500
41484,500
41504,500
41548,500
41538,500
41536,500
41612,500
41442,500
41520,500
41438,500
41562,500
41654,500
41488,500
41572,500
41496,500
41598,500
41424,500
41450,500
41538,500
41466,500
41558,500
41560,500
41512,500
41614,500
41580,500
41482,500
41478,500
41466,500
41594,500
41530,500
41416,500
41542,500
41432,500
41616,500
41452,500
41506,500
41438,500
41688,500
41478,500
41600,500
41488,500
41658,500
41440,500
41520,500
41464,500
41378,500
41684,500
41530,500
41550,500
41408,500
41612,500
41500,500
41424,500
41420,500
41496,500
41484,500
41442,500
41570,500
41436,500
41470,500
41442,500
41498,500
41478,500
41446,500
41544,500
41618,500
41506,500
41522,500
41582,500
41412,500
41412,500
41458,500
41506,500
41382,500
41572,500
41552,500
41640,500
41502,500
41414,500
41532,500
41586,500
41468,500
41512,500
41496,500
41426,500
41540,500
41378,500
41444,500
41454,500
41502,500
41496,500
41480,500
41482,500
41288,500
41502,500
41420,500
41658,500
41546,500
41558,500
41436,500
41478,500
41454,500
41474,500
41596,500
41466,500
41580,500
41648,500
41632,500
41474,500
41498,500
41482,500
41512,500
41484,500
41430,500
41502,500
41460,500
41560,500
41396,500
41450,500
41560,500
41590,500
41454,500
41556,500
41526,500
41408,500
41426,500
41370,500
41658,500
41448,500
41630,500
41380,500
41446,500
41490,500
41384,500
41588,500
41598,500
41484,500
41428,500
41608,500
41340,500
41602,500
41462,500
41438,500
41460,500
41528,500
41598,500
41530,500
41494,500
41500,500
41408,500
41430,500
41658,500
41436,500
41512,500
41414,500
41552,500
41546,500
41602,500
41466,500
41412,500
41536,500
41444,500
41484,500
41422,500
41450,500
41620,500
41518,500
41498,500
41682,500
41518,500
41412,500
41474,500
41530,500
41580,500
41538,500
