TIME,OCALLS,MAX
2186349528,10,100000000
2185070750,20,100000000
2185978556,50,100000000
2185048590,100,100000000
2186847100,200,100000000
2227937158,500,100000000
2205034282,1000,100000000
2222873922,2000,100000000
2282230012,5000,100000000
2399587392,10000,100000000
2574954260,20000,100000000
3163861718,50000,100000000
4186913164,100000,100000000
6132590074,200000,100000000
11973643198,500000,100000000
21893922122,1000000,100000000
2180345244,10,100000000
2183510424,20,100000000
2184553620,50,100000000
2193433612,100,100000000
2187295662,200,100000000
2193208198,500,100000000
2202396110,1000,100000000
2222728604,2000,100000000
2286638674,5000,100000000
2381346826,10000,100000000
2575559682,20000,100000000
3171758058,50000,100000000
4192501368,100000,100000000
6134217324,200000,100000000
11982670136,500000,100000000
21850325484,1000000,100000000
2199876952,10,100000000
2198531622,20,100000000
2184937394,50,100000000
2185660794,100,100000000
2188101086,200,100000000
2192088082,500,100000000
2203491222,1000,100000000
2223705904,2000,100000000
2284207846,5000,100000000
2408486010,10000,100000000
2573537434,20000,100000000
3159569704,50000,100000000
4139455182,100000,100000000
6091556908,200000,100000000
11994137138,500000,100000000
21729267758,1000000,100000000
2183082368,10,100000000
2184874256,20,100000000
2186253922,50,100000000
2188491748,100,100000000
2188759392,200,100000000
2195310340,500,100000000
2209944806,1000,100000000
2265226212,2000,100000000
2284390086,5000,100000000
2384137442,10000,100000000
2576340510,20000,100000000
3179122588,50000,100000000
4135020562,100000,100000000
6157111000,200000,100000000
12204691798,500000,100000000
21833267992,1000000,100000000
2208230838,10,100000000
2191753144,20,100000000
2185907090,50,100000000
2185960004,100,100000000
2185687784,200,100000000
2197851928,500,100000000
2201885860,1000,100000000
2260783872,2000,100000000
2283119440,5000,100000000
2379758538,10000,100000000
2572489760,20000,100000000
3160547260,50000,100000000
4142330188,100000,100000000
6087599586,200000,100000000
11944780682,500000,100000000
21798916418,1000000,100000000
2184042744,10,100000000
2182056646,20,100000000
2191051956,50,100000000
2201214066,100,100000000
2190291892,200,100000000
2194590732,500,100000000
2204623732,1000,100000000
2264091382,2000,100000000
2282482794,5000,100000000
2378320244,10000,100000000
2576569948,20000,100000000
3161352978,50000,100000000
4144647394,100000,100000000
6177210904,200000,100000000
11976637290,500000,100000000
21760045062,1000000,100000000
2212163758,10,100000000
2192815592,20,100000000
2183733168,50,100000000
2187423882,100,100000000
2187539702,200,100000000
2204775102,500,100000000
2203317362,1000,100000000
2222639884,2000,100000000
2282865874,5000,100000000
2418259796,10000,100000000
2570499468,20000,100000000
3160830254,50000,100000000
4141251620,100000,100000000
6151796524,200000,100000000
12005023046,500000,100000000
21837732770,1000000,100000000
2215700072,10,100000000
2188338426,20,100000000
2185483846,50,100000000
2186823462,100,100000000
2188014638,200,100000000
2192296050,500,100000000
2203638226,1000,100000000
2228620874,2000,100000000
2284049508,5000,100000000
2421372964,10000,100000000
2577846140,20000,100000000
3197256592,50000,100000000
4137391894,100000,100000000
6087658696,200000,100000000
11956959284,500000,100000000
21736976772,1000000,100000000
2214737462,10,100000000
2188237690,20,100000000
2185348218,50,100000000
2184103798,100,100000000
2188531196,200,100000000
2207814284,500,100000000
2201681858,1000,100000000
2222800382,2000,100000000
2285110740,5000,100000000
2419146586,10000,100000000
2573705938,20000,100000000
3162421872,50000,100000000
4156096282,100000,100000000
6084589882,200000,100000000
12007311954,500000,100000000
21835685234,1000000,100000000
2181779768,10,100000000
2182985928,20,100000000
2216374642,50,100000000
2200660152,100,100000000
2185607678,200,100000000
2191434194,500,100000000
2203107976,1000,100000000
2227685428,2000,100000000
2286258392,5000,100000000
2379303848,10000,100000000
2578499178,20000,100000000
3203818920,50000,100000000
4133016872,100000,100000000
6076282570,200000,100000000
12008020472,500000,100000000
21842804350,1000000,100000000
2187054706,10,100000000
2183643368,20,100000000
2180858202,50,100000000
2186590392,100,100000000
2186885688,200,100000000
2191459010,500,100000000
2203785996,1000,100000000
2225033102,2000,100000000
2284270504,5000,100000000
2379204062,10000,100000000
2575859638,20000,100000000
3159860734,50000,100000000
4138681302,100000,100000000
6086866998,200000,100000000
12012823418,500000,100000000
21836681172,1000000,100000000
2183124964,10,100000000
2183825988,20,100000000
2187839542,50,100000000
2184818006,100,100000000
2186321582,200,100000000
2193730176,500,100000000
2204114502,1000,100000000
2238154654,2000,100000000
2284132516,5000,100000000
2382072536,10000,100000000
2577997702,20000,100000000
3207593606,50000,100000000
4138789064,100000,100000000
6085037870,200000,100000000
11939704116,500000,100000000
21897475134,1000000,100000000
2186694338,10,100000000
2183244990,20,100000000
2211931332,50,100000000
2195658920,100,100000000
2199396712,200,100000000
2210437964,500,100000000
2205507000,1000,100000000
2224546952,2000,100000000
2282506294,5000,100000000
2379444462,10000,100000000
2580369498,20000,100000000
3210323728,50000,100000000
4176684352,100000,100000000
6092717492,200000,100000000
11978684172,500000,100000000
21767381154,1000000,100000000
2184011530,10,100000000
2182232208,20,100000000
2184810886,50,100000000
2185452362,100,100000000
2188135552,200,100000000
2193565842,500,100000000
2203240472,1000,100000000
2246537916,2000,100000000
2285486714,5000,100000000
2379840964,10000,100000000
2576758774,20000,100000000
3208439704,50000,100000000
4138466760,100000,100000000
6114209500,200000,100000000
12018183224,500000,100000000
21722219036,1000000,100000000
2195703838,10,100000000
2182725420,20,100000000
2183769746,50,100000000
2184484888,100,100000000
2209899240,200,100000000
2214954244,500,100000000
2204291590,1000,100000000
2223702868,2000,100000000
2285810712,5000,100000000
2388993820,10000,100000000
2574980502,20000,100000000
3163427384,50000,100000000
4185384346,100000,100000000
6112536532,200000,100000000
12040772562,500000,100000000
21820490826,1000000,100000000
2181986284,10,100000000
2184386406,20,100000000
2184714544,50,100000000
2186740232,100,100000000
2209175946,200,100000000
2208693162,500,100000000
2225815506,1000,100000000
2246034016,2000,100000000
2290821426,5000,100000000
2380153310,10000,100000000
2576558006,20000,100000000
3160739704,50000,100000000
4140059426,100000,100000000
6116114174,200000,100000000
12000423628,500000,100000000
21796394874,1000000,100000000
2200119756,10,100000000
2182376932,20,100000000
2184624866,50,100000000
2185291768,100,100000000
2213490470,200,100000000
2205257560,500,100000000
2204964816,1000,100000000
2223890916,2000,100000000
2284468062,5000,100000000
2395698656,10000,100000000
2575256084,20000,100000000
3159822108,50000,100000000
4198764556,100000,100000000
6083243368,200000,100000000
12020822018,500000,100000000
21835593884,1000000,100000000
2184721232,10,100000000
2184614110,20,100000000
2184809718,50,100000000
2184859512,100,100000000
2185869062,200,100000000
2195711300,500,100000000
2216886050,1000,100000000
2244356356,2000,100000000
2284582518,5000,100000000
2380486296,10000,100000000
2577031292,20000,100000000
3161557342,50000,100000000
4194502156,100000,100000000
6131591878,200000,100000000
12036691084,500000,100000000
21787309666,1000000,100000000
2188720172,10,100000000
2183239304,20,100000000
2186810550,50,100000000
2184639868,100,100000000
2222422740,200,100000000
2195290526,500,100000000
2204006734,1000,100000000
2223255608,2000,100000000
2281449866,5000,100000000
2379661922,10000,100000000
2573374180,20000,100000000
3161770810,50000,100000000
4190146222,100000,100000000
6092160302,200000,100000000
11950033264,500000,100000000
21816764620,1000000,100000000
2183072456,10,100000000
2183203522,20,100000000
2195621976,50,100000000
2185986594,100,100000000
2186196204,200,100000000
2194799702,500,100000000
2230479798,1000,100000000
2246083884,2000,100000000
2293163492,5000,100000000
2381322558,10000,100000000
2585017506,20000,100000000
3157552024,50000,100000000
4143241066,100000,100000000
6157130146,200000,100000000
12005074622,500000,100000000
21759551448,1000000,100000000
2211419112,10,100000000
2183820524,20,100000000
2185104408,50,100000000
2186385862,100,100000000
2185600902,200,100000000
2193657134,500,100000000
2231780790,1000,100000000
2237808262,2000,100000000
2298167886,5000,100000000
2393468080,10000,100000000
2574578882,20000,100000000
3161387522,50000,100000000
4135930232,100000,100000000
6081370564,200000,100000000
12044914082,500000,100000000
21780952654,1000000,100000000
2181541890,10,100000000
2211471312,20,100000000
2183952202,50,100000000
2186498252,100,100000000
2188365458,200,100000000
2193233200,500,100000000
2234284672,1000,100000000
2237613138,2000,100000000
2284986634,5000,100000000
2381205802,10000,100000000
2592503284,20000,100000000
3161701120,50000,100000000
4133833742,100000,100000000
6150175320,200000,100000000
11972121880,500000,100000000
21853073714,1000000,100000000
2217976108,10,100000000
2183534010,20,100000000
2185372340,50,100000000
2187087680,100,100000000
2189403850,200,100000000
2191415998,500,100000000
2239205062,1000,100000000
2226599098,2000,100000000
2309861320,5000,100000000
2389591558,10000,100000000
2576325646,20000,100000000
3157241844,50000,100000000
4126212040,100000,100000000
6146019318,200000,100000000
11989123194,500000,100000000
21829114336,1000000,100000000
2181630190,10,100000000
2184832962,20,100000000
2209916410,50,100000000
2184950686,100,100000000
2186032238,200,100000000
2191436486,500,100000000
2207961492,1000,100000000
2227187302,2000,100000000
2286706320,5000,100000000
2380885018,10000,100000000
2574368820,20000,100000000
3163281250,50000,100000000
4137744594,100000,100000000
6150757396,200000,100000000
11958134440,500000,100000000
21930309188,1000000,100000000
2214362366,10,100000000
2186096646,20,100000000
2185196784,50,100000000
2185902028,100,100000000
2188816980,200,100000000
2193585540,500,100000000
2202279418,1000,100000000
2222482842,2000,100000000
2320906256,5000,100000000
2383008332,10000,100000000
2574974926,20000,100000000
3165053264,50000,100000000
4139288646,100000,100000000
6086584630,200000,100000000
11982075086,500000,100000000
21832564318,1000000,100000000
2211733188,10,100000000
2183631010,20,100000000
2214570936,50,100000000
2185569386,100,100000000
2187316042,200,100000000
2192023690,500,100000000
2208332166,1000,100000000
2220185638,2000,100000000
2278242788,5000,100000000
2371960742,10000,100000000
2569982328,20000,100000000
3151772560,50000,100000000
4123035058,100000,100000000
6079706686,200000,100000000
11931264484,500000,100000000
21688590630,1000000,100000000
2180308178,10,100000000
2179070600,20,100000000
2179499658,50,100000000
2178353666,100,100000000
2181128226,200,100000000
2187902294,500,100000000
2197350052,1000,100000000
2221607500,2000,100000000
2277078206,5000,100000000
2373277900,10000,100000000
2571634496,20000,100000000
3155992978,50000,100000000
4128321060,100000,100000000
6086692370,200000,100000000
12034414786,500000,100000000
21779313550,1000000,100000000
2182481708,10,100000000
2184062882,20,100000000
2229618556,50,100000000
2184637228,100,100000000
2186907562,200,100000000
2195751022,500,100000000
2210525394,1000,100000000
2226532188,2000,100000000
2284318180,5000,100000000
2377960504,10000,100000000
2621198478,20000,100000000
3162746198,50000,100000000
4127446838,100000,100000000
6092191368,200000,100000000
12049167388,500000,100000000
21870388084,1000000,100000000
2184033386,10,100000000
2182569916,20,100000000
2226221274,50,100000000
2187267500,100,100000000
2213492956,200,100000000
2193204228,500,100000000
2203538804,1000,100000000
2225497564,2000,100000000
2284959544,5000,100000000
2381360394,10000,100000000
2577034942,20000,100000000
3161702970,50000,100000000
4166865312,100000,100000000
6087003498,200000,100000000
12031491952,500000,100000000
21859275258,1000000,100000000
2185033116,10,100000000
2184331376,20,100000000
2223987960,50,100000000
2185040368,100,100000000
2186815550,200,100000000
2193370754,500,100000000
2207931744,1000,100000000
2222396232,2000,100000000
2284104402,5000,100000000
2380557790,10000,100000000
2631493012,20000,100000000
3159305472,50000,100000000
4140434200,100000,100000000
6080070038,200000,100000000
11913280180,500000,100000000
21888940844,1000000,100000000
2184612200,10,100000000
2182754732,20,100000000
2224669308,50,100000000
2185520512,100,100000000
2219559444,200,100000000
2192904110,500,100000000
2203657012,1000,100000000
2232502170,2000,100000000
2282421804,5000,100000000
2382492402,10000,100000000
2624333210,20000,100000000
3162104258,50000,100000000
4142992816,100000,100000000
6084617128,200000,100000000
12055173154,500000,100000000
21808562662,1000000,100000000
2181684712,10,100000000
2184322178,20,100000000
2185393836,50,100000000
2185921868,100,100000000
2188239854,200,100000000
2193590870,500,100000000
2207488932,1000,100000000
2222010014,2000,100000000
2287321892,5000,100000000
2379568816,10000,100000000
2621406574,20000,100000000
3162076720,50000,100000000
4137274774,100000,100000000
6116203648,200000,100000000
11943938638,500000,100000000
21851338414,1000000,100000000
2183008794,10,100000000
2184912454,20,100000000
2183491088,50,100000000
2186058358,100,100000000
2186146586,200,100000000
2194081684,500,100000000
2201982450,1000,100000000
2223297986,2000,100000000
2293120590,5000,100000000
2380022210,10000,100000000
2578570862,20000,100000000
3163115618,50000,100000000
4198662988,100000,100000000
6089408814,200000,100000000
11996951238,500000,100000000
21848029020,1000000,100000000
2181948376,10,100000000
2183276142,20,100000000
2185140938,50,100000000
2185253150,100,100000000
2229887710,200,100000000
2191895184,500,100000000
2235143350,1000,100000000
2223087984,2000,100000000
2284838298,5000,100000000
2380770028,10000,100000000
2601156334,20000,100000000
3160107368,50000,100000000
4198009062,100000,100000000
6120205544,200000,100000000
12002542092,500000,100000000
21950233122,1000000,100000000
2184396502,10,100000000
2184412884,20,100000000
