TIME SBOX, OCALLS SBOX
244987952,10
232933908,20
246715634,50
250727704,100
260792406,200
259608382,500
320994990,1000
348580540,2000
367864290,5000
527918146,10000
820669004,20000
1831196590,50000
3458700106,100000
6349633744,200000
15706555234,500000
30805164064,1000000
222392308,10
223013590,20
229045558,50
238080164,100
250693738,200
261207320,500
261597214,1000
282331974,2000
370416924,5000
521150442,10000
761594232,20000
1678411786,50000
3179329874,100000
6505470824,200000
15882850498,500000
30997011868,1000000
224488640,10
224818984,20
229863598,50
238096166,100
251676410,200
273992566,500
260807364,1000
281548476,2000
371576572,5000
513168358,10000
797376668,20000
1785077914,50000
3259108312,100000
6101005332,200000
14952570544,500000
31704176572,1000000
223086570,10
226525186,20
229168946,50
242635074,100
251352694,200
261017780,500
263824148,1000
284196892,2000
384570934,5000
520677272,10000
823809800,20000
1903313386,50000
3433716538,100000
5467489848,200000
14948858536,500000
30175551512,1000000
222331996,10
223885544,20
233013690,50
239458212,100
251223018,200
285230314,500
281443990,1000
312205606,2000
422815572,5000
515959984,10000
826315278,20000
1912664916,50000
3256359306,100000
6222052540,200000
15677705606,500000
31539861954,1000000
222786888,10
222855620,20
228233546,50
225783602,100
233480098,200
263334280,500
259913966,1000
282145788,2000
371159138,5000
512254770,10000
801300780,20000
1878995160,50000
3422450170,100000
6552867264,200000
15769101256,500000
30185940780,1000000
219551568,10
219560840,20
221652118,50
227085382,100
250714782,200
254106458,500
260457458,1000
282350958,2000
395889368,5000
559192096,10000
825021244,20000
1680040560,50000
3100941434,100000
6425797404,200000
15653440262,500000
30670080732,1000000
222766682,10
223520010,20
234714714,50
238507878,100
310267166,200
259482738,500
263137814,1000
303073230,2000
375171794,5000
537595756,10000
849236062,20000
1905617978,50000
3215575764,100000
6650663918,200000
15652069092,500000
31325198538,1000000
222087028,10
223781338,20
230934374,50
239251228,100
250273082,200
274063558,500
261461886,1000
285129274,2000
366586330,5000
517543236,10000
799627594,20000
1716795736,50000
3008149748,100000
6338829388,200000
15469131284,500000
31444907270,1000000
221499402,10
219783994,20
229726990,50
242724296,100
250084968,200
283454956,500
269872482,1000
284230462,2000
372998756,5000
517780686,10000
867867528,20000
1911951210,50000
3296368698,100000
6671947368,200000
15043789662,500000
31599584294,1000000
226830150,10
224402130,20
228706552,50
238537590,100
252898304,200
259384512,500
267870818,1000
296494870,2000
370490818,5000
529980140,10000
803389908,20000
1900585078,50000
3295899948,100000
6122928670,200000
15546569602,500000
31782261110,1000000
222030878,10
223860376,20
228279512,50
237567146,100
251213060,200
251756086,500
263679218,1000
282589572,2000
368620258,5000
531148550,10000
826636432,20000
1847253574,50000
3392637972,100000
6469973486,200000
15884314868,500000
30600050826,1000000
232368160,10
224953648,20
229687334,50
226666416,100
238684960,200
252707032,500
260541120,1000
281144010,2000
372090540,5000
516387516,10000
810309324,20000
1854270616,50000
2945956262,100000
6623417838,200000
15139359054,500000
29680107994,1000000
219644618,10
218531812,20
219907332,50
222430710,100
240806422,200
276798802,500
263425824,1000
283053724,2000
378159630,5000
521483878,10000
817978512,20000
1900363012,50000
3416662350,100000
6278164820,200000
16004951830,500000
31964114340,1000000
222872892,10
223769212,20
228908836,50
238344328,100
251105170,200
279414766,500
262084118,1000
283428416,2000
372439664,5000
528344954,10000
820947756,20000
1940622382,50000
3521120440,100000
6056563124,200000
15251095480,500000
30454749216,1000000
223126384,10
224840204,20
229739884,50
237949924,100
250928866,200
280857590,500
266468292,1000
282673158,2000
371997244,5000
521038256,10000
816326926,20000
1655784412,50000
3320083242,100000
5307890718,200000
15024278752,500000
30374810136,1000000
219910392,10
219310226,20
221138098,50
222236636,100
224599168,200
232723806,500
253640550,1000
282203690,2000
375424578,5000
520175850,10000
803880328,20000
1880407396,50000
3516434168,100000
6191493848,200000
13931941632,500000
27823739694,1000000
224419480,10
222969774,20
229567758,50
239328914,100
254009816,200
287697294,500
265752160,1000
283122478,2000
368822234,5000
526332366,10000
828265622,20000
1673735544,50000
2936074356,100000
6021272292,200000
14085581388,500000
27689784480,1000000
220244882,10
221877382,20
230100076,50
240179272,100
254391344,200
285163028,500
264272930,1000
283156048,2000
369975530,5000
527108418,10000
822920844,20000
1654680764,50000
3078057796,100000
5693510524,200000
13791817368,500000
27113629852,1000000
221613044,10
221477406,20
223429706,50
236841522,100
254181218,200
283759922,500
259829204,1000
283846108,2000
371040804,5000
526062850,10000
833185600,20000
1584464154,50000
3043100626,100000
5697375974,200000
13982857190,500000
26849307252,1000000
