TIME,OCALLS,MAX
2212147998,10,100000000
2203460128,20,100000000
2213236308,50,100000000
2239276974,100,100000000
2236803968,200,100000000
2255288198,500,100000000
2241974116,1000,100000000
2263079834,2000,100000000
2313960546,5000,100000000
2368001652,10000,100000000
2503816640,20000,100000000
2893312222,50000,100000000
3580250580,100000,100000000
4936443892,200000,100000000
9651495736,500000,100000000
15947355748,1000000,100000000
2224362880,10,100000000
2206912908,20,100000000
2204713174,50,100000000
2233296900,100,100000000
2239220330,200,100000000
2221551128,500,100000000
2221125934,1000,100000000
2225330262,2000,100000000
2314481294,5000,100000000
2351484612,10000,100000000
2521466984,20000,100000000
2860507308,50000,100000000
3647340352,100000,100000000
4877175838,200000,100000000
8920561178,500000,100000000
15692450102,1000000,100000000
2228704864,10,100000000
2204038576,20,100000000
2196214678,50,100000000
2217285190,100,100000000
2212130864,200,100000000
2220353302,500,100000000
2243391622,1000,100000000
2252410074,2000,100000000
2293290054,5000,100000000
2350717004,10000,100000000
2507018336,20000,100000000
2905294974,50000,100000000
3603627900,100000,100000000
4897962290,200000,100000000
8863054752,500000,100000000
15982310000,1000000,100000000
2201168044,10,100000000
2249270460,20,100000000
2215467932,50,100000000
2218216496,100,100000000
2228044682,200,100000000
2224302742,500,100000000
2223085522,1000,100000000
2239669718,2000,100000000
2278200492,5000,100000000
2335877800,10000,100000000
2472659856,20000,100000000
2867644770,50000,100000000
3523916256,100000,100000000
4890352256,200000,100000000
8900023290,500000,100000000
15751025154,1000000,100000000
2233384128,10,100000000
2222099478,20,100000000
2227770654,50,100000000
2212897712,100,100000000
2215184630,200,100000000
2216242136,500,100000000
2221784378,1000,100000000
2244216410,2000,100000000
2288281150,5000,100000000
2349801284,10000,100000000
2490919726,20000,100000000
2889587358,50000,100000000
3563647004,100000,100000000
4883633954,200000,100000000
8869089036,500000,100000000
15586634108,1000000,100000000
2238955730,10,100000000
2234493884,20,100000000
2203923834,50,100000000
2214351708,100,100000000
2247055806,200,100000000
2214645496,500,100000000
2227327786,1000,100000000
2273930456,2000,100000000
2300156168,5000,100000000
2361213206,10000,100000000
2472646540,20000,100000000
2873166932,50000,100000000
3538481002,100000,100000000
4893441106,200000,100000000
8879551368,500000,100000000
15647252858,1000000,100000000
2251732346,10,100000000
2226813628,20,100000000
2230025522,50,100000000
2227088864,100,100000000
2227944180,200,100000000
2229945054,500,100000000
2228511758,1000,100000000
2241974880,2000,100000000
2296147554,5000,100000000
2352885270,10000,100000000
2503791702,20000,100000000
2909977990,50000,100000000
3564259086,100000,100000000
4938698618,200000,100000000
8953515430,500000,100000000
15748802388,1000000,100000000
2210152726,10,100000000
2232964324,20,100000000
2218628440,50,100000000
2218854406,100,100000000
2236512520,200,100000000
2228766726,500,100000000
2245413272,1000,100000000
2232309410,2000,100000000
2275910946,5000,100000000
2368168276,10000,100000000
2501688134,20000,100000000
2906016318,50000,100000000
3574445616,100000,100000000
4892488104,200000,100000000
8960151336,500000,100000000
15864181978,1000000,100000000
2235290028,10,100000000
2218790164,20,100000000
2206850290,50,100000000
2207715370,100,100000000
2205778878,200,100000000
2212424156,500,100000000
2233019960,1000,100000000
2266551620,2000,100000000
2294121258,5000,100000000
2352335806,10000,100000000
2498236948,20000,100000000
2881043698,50000,100000000
3551346852,100000,100000000
4929933926,200000,100000000
8908781504,500000,100000000
15911830860,1000000,100000000
2197558306,10,100000000
2247489708,20,100000000
2263706714,50,100000000
2205869446,100,100000000
2259198022,200,100000000
2217411046,500,100000000
2213360054,1000,100000000
2229023656,2000,100000000
2273221198,5000,100000000
2381320950,10000,100000000
2507545762,20000,100000000
2891016482,50000,100000000
3561501726,100000,100000000
4953995574,200000,100000000
8995174716,500000,100000000
16432339594,1000000,100000000
