TIME STD, OCALLS STD
227161502,10
226879844,20
221887362,50
222052410,100
223322260,200
227842800,500
232901444,1000
246889046,2000
288904630,5000
351131516,10000
484018364,20000
888702430,50000
1550495654,100000
2855367274,200000
6835838176,500000
13487644812,1000000
219427136,10
218619896,20
219151944,50
220340550,100
221943490,200
226224026,500
233148988,1000
245662692,2000
285604320,5000
352060610,10000
484140104,20000
879887164,50000
1544044574,100000
2859119232,200000
6857036252,500000
13487418300,1000000
218909914,10
217994598,20
218932320,50
218307348,100
222113892,200
225800238,500
232222106,1000
246250696,2000
286685988,5000
352656836,10000
485253872,20000
880995924,50000
1540984736,100000
2856646264,200000
6837764544,500000
13489680052,1000000
220411312,10
217460912,20
220335808,50
219972138,100
221552098,200
227272076,500
233345518,1000
247059772,2000
286876590,5000
350871976,10000
484197130,20000
902936218,50000
1561475652,100000
2893792460,200000
6862490958,500000
13500143698,1000000
220563844,10
219927394,20
219537356,50
219672870,100
220244372,200
228227070,500
237247180,1000
246071464,2000
284675596,5000
350829414,10000
484113748,20000
890844448,50000
1656738952,100000
2866048890,200000
6836182962,500000
13502511040,1000000
219340792,10
218575528,20
219346882,50
219384416,100
221562338,200
242679500,500
231459936,1000
246061130,2000
286525188,5000
351605158,10000
486435114,20000
884193522,50000
1543919978,100000
2876973768,200000
6857573606,500000
13711690952,1000000
222949958,10
223394230,20
220017104,50
220048644,100
221282006,200
226567952,500
237776566,1000
252038532,2000
286349072,5000
351978784,10000
497644310,20000
897780440,50000
1545510612,100000
2909600900,200000
6936329068,500000
13649839296,1000000
221928970,10
222262720,20
221884524,50
221503768,100
220661128,200
226195460,500
233198124,1000
246682224,2000
287427198,5000
352051262,10000
484856790,20000
890331684,50000
1546917056,100000
2857525008,200000
6864463216,500000
13658324580,1000000
222434870,10
221329978,20
221046538,50
220783416,100
221413058,200
227645706,500
235655648,1000
254572558,2000
285686536,5000
351258368,10000
496338654,20000
894139236,50000
1584990744,100000
2891936352,200000
6952702226,500000
13615435992,1000000
224236862,10
221071328,20
224456108,50
222202314,100
226779668,200
226518952,500
232716620,1000
249284284,2000
300963734,5000
352878500,10000
501661542,20000
915382056,50000
1553885936,100000
2879274952,200000
6946161040,500000
13696395310,1000000
222690692,10
223100040,20
223555322,50
230694770,100
233481906,200
228832414,500
234979744,1000
249576640,2000
287208732,5000
350517910,10000
497679736,20000
894740564,50000
1580552678,100000
2860652716,200000
6832198236,500000
13699093952,1000000
227853778,10
220684554,20
218916148,50
220400348,100
220800954,200
227680910,500
239194572,1000
252872696,2000
291363358,5000
362350856,10000
494142294,20000
899935890,50000
1570335846,100000
2861882836,200000
6852387106,500000
13523575634,1000000
217183426,10
219219238,20
220020462,50
219817196,100
220901714,200
225806680,500
232977026,1000
246463708,2000
285590232,5000
350754238,10000
487244784,20000
883359564,50000
1547343246,100000
2855979314,200000
6843657332,500000
13516947588,1000000
219799476,10
219836858,20
220987862,50
222186364,100
223496728,200
226994344,500
233446672,1000
246211276,2000
285506312,5000
349661862,10000
483917732,20000
883345194,50000
1576767438,100000
2857855128,200000
6861592132,500000
13484728712,1000000
219016982,10
228281292,20
219491586,50
220134822,100
221027806,200
226335246,500
231404022,1000
245834716,2000
286319028,5000
350493258,10000
483390364,20000
954268730,50000
1550054618,100000
2861958292,200000
6925626960,500000
13531072540,1000000
218050856,10
219427788,20
219781656,50
222004210,100
224389782,200
229391650,500
250358844,1000
245435960,2000
288598006,5000
363600794,10000
506976868,20000
904768174,50000
1559926430,100000
2891640518,200000
6950551750,500000
13491884616,1000000
221700270,10
219069284,20
221292440,50
220941348,100
220977692,200
226368196,500
233899290,1000
245729602,2000
285436118,5000
351901580,10000
489169240,20000
885403716,50000
1546540492,100000
2853535850,200000
6835029970,500000
13491825968,1000000
218114492,10
217565478,20
222979168,50
221469318,100
222095506,200
226016570,500
232899678,1000
244808520,2000
285381564,5000
351652366,10000
486729416,20000
882034966,50000
1545515906,100000
2870727008,200000
6839351774,500000
13880126766,1000000
222647594,10
224063134,20
224335098,50
225133476,100
224953626,200
229769722,500
234160860,1000
248063732,2000
286529750,5000
352028562,10000
485642340,20000
884609444,50000
1566992652,100000
3034302918,200000
6982621804,500000
13624327138,1000000
220786704,10
220963374,20
221702424,50
220804314,100
222422368,200
230414814,500
239112756,1000
252641898,2000
291588404,5000
353366046,10000
486937872,20000
896234502,50000
1572682230,100000
2868389606,200000
6894279784,500000
13771638484,1000000
